Region,Country,Industry,Category,Subcategory,ProductId,Lowest Level,2019,2020,2021,2022,2023,2024
Asia Pacific,Asia Pacific,Apparel and Footwear,Apparel,Non-Sheer Hosiery,723202,yes,15949.3174572097,13306.3923053141,14216.5374599924,12803.4606327076,13602.340357881,13740.7201015582
Asia Pacific,Asia Pacific,Apparel and Footwear,Footwear,Children's Footwear,723184,yes,14762.3787554475,12867.09775974,13983.4115214448,13834.8751534953,15017.6582724794,15351.5529386474
Asia Pacific,Asia Pacific,Apparel and Footwear,Footwear,Men's Footwear,723182,yes,47212.8819626932,39619.8316270763,42663.967819094,41099.7143375365,44548.1988763585,45474.202009183
Asia Pacific,Asia Pacific,Apparel and Footwear,Footwear,Women's Footwear,723183,yes,57681.177335367,49058.2096336013,52626.213532045,50463.564244387,54393.6891992418,55513.3702052
Asia Pacific,China,Apparel and Footwear,Apparel,Baby and Toddler Wear,723179,yes,7306.4694117545,6752.2091282689,7729.723750436,6769.029114209,7214.8535054762,7241.1328071455
Asia Pacific,China,Apparel and Footwear,Apparel,Boys' Apparel,723181,yes,13391.385197511,12038.194245331,13447.1625302133,12105.5482953884,13336.7673107611,13465.6538300361
Asia Pacific,China,Apparel and Footwear,Apparel,Girls' Apparel,723180,yes,14585.6986639384,13155.9705517161,14729.9925763139,13284.8509062712,14697.8128932237,14953.0266289453
Asia Pacific,China,Apparel and Footwear,Apparel,Belts,723127,yes,6872.4342136307,5938.4211654588,6504.0867228031,5715.0879096921,6182.2592614934,6117.996398727
Asia Pacific,China,Apparel and Footwear,Apparel,Gloves,723131,yes,4635.9467366932,4001.3713230003,4398.3730791298,3890.7795153016,4229.0039326329,4170.1615163692
Asia Pacific,China,Apparel and Footwear,Apparel,Hats/Caps,723129,yes,4611.2191694287,3980.022532096,4382.7880814554,3928.2569968503,4272.8736473515,4270.7094826459
Asia Pacific,China,Apparel and Footwear,Apparel,Scarves,723130,yes,5330.0743363889,4657.7241974746,5138.2959865651,4658.1529832449,5045.2279369778,5046.3026227844
Asia Pacific,China,Apparel and Footwear,Apparel,Ties,723128,yes,5688.1814441708,4915.1341466435,5378.4590175464,4731.5593247643,5097.3390115861,5016.5236900023
Asia Pacific,China,Apparel and Footwear,Apparel,Other Apparel Accessories,723132,yes,2397.1133867275,3418.9872552299,3792.0646007263,3391.4840536732,3698.5450699471,3729.2088284365
Asia Pacific,China,Apparel and Footwear,Apparel,Men's Nightwear,723192,yes,3832.3716194073,3573.4577138975,3896.1552666581,3521.2311227735,3782.5929842431,3712.651821885
Asia Pacific,China,Apparel and Footwear,Apparel,Economy Men's Jeans,723187,yes,2263.6155067282,1931.665106939,2125.2301977405,1864.0983162901,1993.9903959394,1959.0194595363
Asia Pacific,China,Apparel and Footwear,Apparel,Standard Men's Jeans,723188,yes,2637.3632434224,2289.2299843407,2534.4943764857,2240.11678542,2420.7672290154,2401.7637704557
Asia Pacific,China,Apparel and Footwear,Apparel,Premium Men's Jeans,723189,yes,1648.408092029,1419.5505412138,1572.3415278415,1396.3488497689,1502.241500722,1477.0036663432
Asia Pacific,China,Apparel and Footwear,Apparel,Super Premium Men's Jeans,723190,yes,807.0732713422,695.8106836281,768.9801905135,688.8302353359,751.491995362,735.5064224096
Asia Pacific,China,Apparel and Footwear,Apparel,Men's Jackets and Coats,723170,yes,11021.5444289746,9405.2775382156,10431.5746108727,9289.6898200193,10136.55305868,10181.0491525843
Asia Pacific,China,Apparel and Footwear,Apparel,Men's Jumpers,723167,yes,1681.2739206915,1439.6460630164,1599.5899526084,1435.5554155727,1565.2177720689,1564.3456235571
Asia Pacific,China,Apparel and Footwear,Apparel,Men's Shirts,723166,yes,15188.5260656952,13005.6762161814,14450.6038537032,12927.5208162382,13860.0329526389,13721.9427035466
Asia Pacific,China,Apparel and Footwear,Apparel,Men's Shorts and Trousers,723168,yes,11350.9551654383,9841.540512506,10895.9504797921,9762.6377307897,10613.4912322802,10593.5156211236
Asia Pacific,China,Apparel and Footwear,Apparel,Men's Suits,723169,yes,16716.0995659009,14117.8560277849,15672.3663867196,13858.1654431599,14796.135596504,14597.2179590572
Asia Pacific,China,Apparel and Footwear,Apparel,Men's Tops,723165,yes,2963.1563190906,2545.9801665572,2823.7961561984,2536.1049535258,2783.5475648207,2769.0043378928
Asia Pacific,China,Apparel and Footwear,Apparel,Other Men's Outerwear,723171,yes,4652.9211198302,3843.3845081519,4224.7112688885,3773.1472274709,4053.6702221801,4034.0676835418
Asia Pacific,China,Apparel and Footwear,Apparel,Men's Swimwear,723193,yes,535.5229767287,420.9125886038,508.5630820053,449.8458902293,494.37691904,488.2927837371
Asia Pacific,China,Apparel and Footwear,Apparel,Men's Underwear,723191,yes,10356.9895833509,9050.5361176407,9876.7971961755,8936.9594298495,9633.2495117222,9564.0527630915
Asia Pacific,China,Apparel and Footwear,Apparel,Women's Nightwear,723123,yes,9637.8717966429,9024.3816879742,9866.1280705365,9003.1528600264,9630.4260957939,9464.6812921652
Asia Pacific,China,Apparel and Footwear,Apparel,Economy Women's Jeans,723118,yes,1979.4476610858,1700.7654006184,1854.3508125327,1626.9619649544,1747.7112075402,1720.2151236605
Asia Pacific,China,Apparel and Footwear,Apparel,Standard Women's Jeans,723119,yes,2184.1966392892,1906.5449844162,2110.8092603043,1889.5295644078,2053.1327950395,2025.1893106311
Asia Pacific,China,Apparel and Footwear,Apparel,Premium Women's Jeans,723120,yes,1299.8600479885,1133.3542972649,1261.5146195331,1123.4375213655,1214.0576839251,1193.2777228469
Asia Pacific,China,Apparel and Footwear,Apparel,Super Premium Women's Jeans,723121,yes,767.5224422457,663.2112815928,735.5805062526,666.1073263104,726.5278625343,710.22508952810006
Asia Pacific,China,Apparel and Footwear,Apparel,Women's Dresses,723115,yes,15997.558657403,13792.1544368887,15269.826938321,13601.3880376643,14693.5268278179,14564.044394832
Asia Pacific,China,Apparel and Footwear,Apparel,Women's Jackets and Coats,723177,yes,14090.5837189662,12271.892919312,13538.0762054341,12180.2948170991,13203.1205060738,13203.3772717103
Asia Pacific,China,Apparel and Footwear,Apparel,Women's Jumpers,723174,yes,1432.0876156122,1248.6449708439,1378.7138020442,1240.6011658099,1344.0408866292,1342.6750970371
Asia Pacific,China,Apparel and Footwear,Apparel,Women's Leggings,723126,yes,309.1063939402,280.677538284,316.30769193,291.5745266617,320.6412368808,323.0867795439
Asia Pacific,China,Apparel and Footwear,Apparel,Women's Shirts and Blouses,723173,yes,13905.8203986484,12029.5135561279,13294.5137191248,11919.5318444168,12847.3882426551,12658.7528069324
Asia Pacific,China,Apparel and Footwear,Apparel,Women's Shorts and Trousers,723175,yes,13952.5475336622,12069.9350860047,13363.0919885252,12021.0511933719,13109.4606958319,13110.9788704211
Asia Pacific,China,Apparel and Footwear,Apparel,Women's Skirts,723116,yes,18478.9036397566,15949.4670442349,17642.4769984542,15597.018464729,16804.2933157694,16825.8831934976
Asia Pacific,China,Apparel and Footwear,Apparel,Women's Suits,723176,yes,12549.8615266685,10758.4854872361,11921.7899770563,10618.3777562913,11470.7461831785,11249.8967408117
Asia Pacific,China,Apparel and Footwear,Apparel,Women's Tops,723172,yes,4891.8711563127,4265.2464120867,4722.2186317198,4218.1989658052,4566.5326300836,4557.73190078
Asia Pacific,China,Apparel and Footwear,Apparel,Other Women's Outerwear,723178,yes,14229.9875925072,11879.2307449068,13093.1370040948,11731.1134212235,12703.5196395203,12665.3987580437
Asia Pacific,China,Apparel and Footwear,Apparel,Women's Swimwear,723124,yes,4332.8628922502,3502.8626499937,4270.0753811123,3772.877232923,4187.6087193681,4130.6268846552
Asia Pacific,China,Apparel and Footwear,Apparel,Women's Underwear,723122,yes,25946.7853451527,23028.47257319,25723.7597797246,23402.0922018404,25128.8204596379,25216.9938457932
Asia Pacific,China,Apparel and Footwear,Apparel,Sheer Hosiery,723203,yes,5753.445402282,5182.1294436313,5624.436643541,4539.6855309318,4683.0371270687,4592.497418426
Asia Pacific,China,Apparel and Footwear,Apparel,Non-Sheer Hosiery,723202,yes,10215.6072093504,9229.5548047699,10088.6761311486,8496.2947531851,9137.5469968104,9233.5207130287
Asia Pacific,China,Apparel and Footwear,Footwear,Children's Footwear,723184,yes,9298.6275735553,8779.3632569806,9832.9951500802,9266.6885228329,10187.9651878128,10374.8550715093
Asia Pacific,China,Apparel and Footwear,Footwear,Men's Footwear,723182,yes,24406.8229796534,22805.5678594145,25401.5333550394,22294.4150876092,24338.0406944376,24617.5228117019
Asia Pacific,China,Apparel and Footwear,Footwear,Women's Footwear,723183,yes,30499.4580155249,28379.3683864832,31391.793046966,27675.000736455,30263.0271702666,30669.8707185412
Asia Pacific,"Hong Kong, China",Apparel and Footwear,Apparel,Baby and Toddler Wear,723179,yes,60.6520352159,44.1656339963,47.1358504158,43.5837619705,48.2467455936,44.3897931944
Asia Pacific,"Hong Kong, China",Apparel and Footwear,Apparel,Boys' Apparel,723181,yes,100.4959466739,72.3765279109,77.956703379,65.8373069988,74.1581005217,69.0062900859
Asia Pacific,"Hong Kong, China",Apparel and Footwear,Apparel,Girls' Apparel,723180,yes,167.0553615452,121.1505089816,126.5267793584,110.5277245158,126.5589640576,117.7668322852
Asia Pacific,"Hong Kong, China",Apparel and Footwear,Apparel,Belts,723127,yes,68.1632240811,44.2293311013,46.0847212242,39.5853499113,52.380797544000004,48.2150335169
Asia Pacific,"Hong Kong, China",Apparel and Footwear,Apparel,Gloves,723131,yes,24.7501527513,16.5487848217,15.9837213407,13.6518741057,17.1293238224,15.5853325264
Asia Pacific,"Hong Kong, China",Apparel and Footwear,Apparel,Hats/Caps,723129,yes,72.9830502888,52.3382495111,48.5251132807,43.4338884262,57.8987454138,53.8651026389
Asia Pacific,"Hong Kong, China",Apparel and Footwear,Apparel,Scarves,723130,yes,111.7817482403,76.8034905552,81.1373984995,70.1207464237,90.7259389366,83.4367775508
Asia Pacific,"Hong Kong, China",Apparel and Footwear,Apparel,Ties,723128,yes,120.0318037847,72.5980830587,69.8367235572,58.1000852698,73.7295091667,66.3696759503
Asia Pacific,"Hong Kong, China",Apparel and Footwear,Apparel,Other Apparel Accessories,723132,yes,10.7002193564,40.5570545263,52.7950699968,51.447212016,61.5260584405,55.9802868869
Asia Pacific,"Hong Kong, China",Apparel and Footwear,Apparel,Men's Nightwear,723192,yes,20.3884169438,11.4267067483,12.5699236662,11.4345485428,14.7946250685,13.0270719483
Asia Pacific,"Hong Kong, China",Apparel and Footwear,Apparel,Economy Men's Jeans,723187,yes,38.7347993452,20.9078823549,25.3702504884,22.3177765473,30.7419158238,28.875711044
Asia Pacific,"Hong Kong, China",Apparel and Footwear,Apparel,Standard Men's Jeans,723188,yes,21.2393803527,12.8875860042,13.933255951,12.5117646431,16.92367412,15.8963132452
Asia Pacific,"Hong Kong, China",Apparel and Footwear,Apparel,Premium Men's Jeans,723189,yes,131.467530389,76.281437391,81.5518106141,76.5733377722,105.4967977163,95.9876376205
Asia Pacific,"Hong Kong, China",Apparel and Footwear,Apparel,Super Premium Men's Jeans,723190,yes,90.7407409237,54.1799266773,57.2558659661,63.260017298,92.1556352762,83.4888866794
Asia Pacific,"Hong Kong, China",Apparel and Footwear,Apparel,Men's Jackets and Coats,723170,yes,389.2456557353,189.0363909903,210.3676248787,191.815388153,276.6295247919,257.1271816301
Asia Pacific,"Hong Kong, China",Apparel and Footwear,Apparel,Men's Jumpers,723167,yes,20.8548503947,11.3976276352,12.5331136945,11.1869895632,14.6992417347,13.8069162421
Asia Pacific,"Hong Kong, China",Apparel and Footwear,Apparel,Men's Shirts,723166,yes,112.7880506467,54.1605406019,62.3329153948,57.2878241855,83.0998462375,77.2467847875
Asia Pacific,"Hong Kong, China",Apparel and Footwear,Apparel,Men's Shorts and Trousers,723168,yes,164.4330615788,89.3504216725,102.8402442417,93.0326645219,126.7536881389,120.308839623
Asia Pacific,"Hong Kong, China",Apparel and Footwear,Apparel,Men's Suits,723169,yes,296.983453317,136.7050650775,149.5575516461,135.9687586756,175.9235878974,158.3432582223
Asia Pacific,"Hong Kong, China",Apparel and Footwear,Apparel,Men's Tops,723165,yes,17.7966572628,9.0269875536,10.869848307,9.4567530195,12.5208966823,11.8329419065
Asia Pacific,"Hong Kong, China",Apparel and Footwear,Apparel,Other Men's Outerwear,723171,yes,89.7497503059,46.6622835682,49.8884182989,44.7024609269,57.8384136966,53.8089740628
Asia Pacific,"Hong Kong, China",Apparel and Footwear,Apparel,Men's Swimwear,723193,yes,29.080390419,13.6003289147,15.6315589782,14.0386013765,20.1458280581,20.5376994296
